frame,gamepad,mouse_x,mouse_y,mouse_buttons,action
0,0,32767,32767,0,start
1,0,79,85,0,arm-mouse-movement
2,0,80,86,0,select-options
3,0,80,86,1,press-options
4,0,80,86,0,release-options
13,1,80,86,0,press-color
14,0,80,86,0,release-color-and-save
21,2,80,86,0,press-back
22,0,80,86,0,release-back
24,0,79,65,0,select-new-game
25,0,79,65,1,press-new-game
26,0,79,65,0,release-new-game
36,0,79,65,1,press-very-easy
37,0,79,65,0,release-very-easy
46,0,79,53,0,move-to-source-peg
47,0,79,53,1,press-source-peg
48,0,79,53,0,release-source-peg
56,0,79,85,0,move-to-center-hole
57,0,79,85,1,press-center-hole
58,0,79,85,0,release-center-hole
69,0,79,85,0,end
