frame,gamepad,mouse_x,mouse_y,mouse_buttons,framebuffer_sha256,framebuffer_fnv1a,palette0,palette1,palette2,palette3,checkpoint
0,0,32767,32767,0,3c1eaaeaabf31a559312e9b70187972f8edb230d55bf79d63340d0a7d3ab9855,2e4a87e9,00004385,004485cf,007dbbff,00ffffff,title-blue
1,0,79,85,0,3c1eaaeaabf31a559312e9b70187972f8edb230d55bf79d63340d0a7d3ab9855,2e4a87e9,00004385,004485cf,007dbbff,00ffffff,mouse-armed
2,0,80,86,0,e1531d6a1ee394f420836327ce3eecec3b649903fcfe172d69bd9050dab75e3f,e6353b91,00004385,004485cf,007dbbff,00ffffff,options-highlight
3,0,80,86,1,e1531d6a1ee394f420836327ce3eecec3b649903fcfe172d69bd9050dab75e3f,e6353b91,00004385,004485cf,007dbbff,00ffffff,options-press
4,0,80,86,0,e1531d6a1ee394f420836327ce3eecec3b649903fcfe172d69bd9050dab75e3f,e6353b91,00004385,004485cf,007dbbff,00ffffff,options-release
5,0,80,86,0,feae3fa9127518437aefc421084969b7d5887278c1c07be236857780a6bd1b6f,727388a6,00004385,004485cf,007dbbff,00ffffff,options-screen
12,0,80,86,0,feae3fa9127518437aefc421084969b7d5887278c1c07be236857780a6bd1b6f,727388a6,00004385,004485cf,007dbbff,00ffffff,options-stable
13,1,80,86,0,feae3fa9127518437aefc421084969b7d5887278c1c07be236857780a6bd1b6f,727388a6,00004385,004485cf,007dbbff,00ffffff,color-press
14,0,80,86,0,2f9245d0fba7d62c42ac7451e36744389b4958ed6cecabfa45ddbd0a1b2af867,f08e1199,00002b59,00005f8c,0000b9be,009ff4e5,color-release-aqua
20,0,80,86,0,2f9245d0fba7d62c42ac7451e36744389b4958ed6cecabfa45ddbd0a1b2af867,f08e1199,00002b59,00005f8c,0000b9be,009ff4e5,options-aqua
21,2,80,86,0,2f9245d0fba7d62c42ac7451e36744389b4958ed6cecabfa45ddbd0a1b2af867,f08e1199,00002b59,00005f8c,0000b9be,009ff4e5,back-press
22,0,80,86,0,2f9245d0fba7d62c42ac7451e36744389b4958ed6cecabfa45ddbd0a1b2af867,f08e1199,00002b59,00005f8c,0000b9be,009ff4e5,back-release
23,0,80,86,0,e1531d6a1ee394f420836327ce3eecec3b649903fcfe172d69bd9050dab75e3f,e6353b91,00002b59,00005f8c,0000b9be,009ff4e5,title-options-highlight-aqua
24,0,79,65,0,3c1eaaeaabf31a559312e9b70187972f8edb230d55bf79d63340d0a7d3ab9855,2e4a87e9,00002b59,00005f8c,0000b9be,009ff4e5,new-game-highlight
25,0,79,65,1,3c1eaaeaabf31a559312e9b70187972f8edb230d55bf79d63340d0a7d3ab9855,2e4a87e9,00002b59,00005f8c,0000b9be,009ff4e5,new-game-press
26,0,79,65,0,3c1eaaeaabf31a559312e9b70187972f8edb230d55bf79d63340d0a7d3ab9855,2e4a87e9,00002b59,00005f8c,0000b9be,009ff4e5,new-game-release
27,0,79,65,0,d58e2309e4586de1c8b3dba034407491ece87fce6ce83c1111838d4706193fcb,15b2a17d,00002b59,00005f8c,0000b9be,009ff4e5,difficulty-very-easy
35,0,79,65,0,d58e2309e4586de1c8b3dba034407491ece87fce6ce83c1111838d4706193fcb,15b2a17d,00002b59,00005f8c,0000b9be,009ff4e5,difficulty-stable
36,0,79,65,1,d58e2309e4586de1c8b3dba034407491ece87fce6ce83c1111838d4706193fcb,15b2a17d,00002b59,00005f8c,0000b9be,009ff4e5,difficulty-press
37,0,79,65,0,d58e2309e4586de1c8b3dba034407491ece87fce6ce83c1111838d4706193fcb,15b2a17d,00002b59,00005f8c,0000b9be,009ff4e5,difficulty-release
38,0,79,65,0,a31e5ac0e564a5882420d3f871b4c366f266dd4cfa6b8ff3b8e1e552b6c1b2de,807cc89f,00002b59,00005f8c,0000b9be,009ff4e5,board-start
45,0,79,65,0,a31e5ac0e564a5882420d3f871b4c366f266dd4cfa6b8ff3b8e1e552b6c1b2de,807cc89f,00002b59,00005f8c,0000b9be,009ff4e5,board-stable
46,0,79,53,0,a31e5ac0e564a5882420d3f871b4c366f266dd4cfa6b8ff3b8e1e552b6c1b2de,807cc89f,00002b59,00005f8c,0000b9be,009ff4e5,pointer-source
47,0,79,53,1,701e6489a9166b55140589184eadfddb4fe9e2dcb4dce2d8d7286856d56d2f49,29f51a8f,00002b59,00005f8c,0000b9be,009ff4e5,source-press
48,0,79,53,0,701e6489a9166b55140589184eadfddb4fe9e2dcb4dce2d8d7286856d56d2f49,29f51a8f,00002b59,00005f8c,0000b9be,009ff4e5,source-release
55,0,79,53,0,66f2b6804314f062301f7224e9221101bc1d17b043d98cc7ef5362db77c82160,2ded7883,00002b59,00005f8c,0000b9be,009ff4e5,source-selected
56,0,79,85,0,66f2b6804314f062301f7224e9221101bc1d17b043d98cc7ef5362db77c82160,2ded7883,00002b59,00005f8c,0000b9be,009ff4e5,pointer-destination
57,0,79,85,1,b6e7e19fd0e27a8748b6537521e91383ef18078e39d7d406a40d2f35bd8b4c24,bafb82af,00002b59,00005f8c,0000b9be,009ff4e5,destination-press
58,0,79,85,0,b6e7e19fd0e27a8748b6537521e91383ef18078e39d7d406a40d2f35bd8b4c24,bafb82af,00002b59,00005f8c,0000b9be,009ff4e5,destination-release
69,0,79,85,0,769b05701f4d2ea234ea00ef4f249e29646da78ef6368ca8103047429d90adc9,47462cbf,00002b59,00005f8c,0000b9be,009ff4e5,move-1-pegs-43
