frame,gamepad,mouse_x,mouse_y,mouse_buttons,action
0,0,32767,32767,0,title
1,0,80,80,1,press-title
2,0,80,80,0,release-title
3,0,20,72,0,hover-level-0
4,0,20,72,1,press-level-0
5,0,20,72,0,release-level-0
153,0,28,49,1,press-point-f
154,0,120,50,1,drag-point-f
155,0,120,50,0,release-point-f
156,0,28,109,1,press-point-e
157,0,120,110,1,drag-point-e
158,0,120,110,0,release-point-e
159,0,131,110,1,press-point-c
160,0,80,130,1,drag-point-c
161,0,80,130,0,release-point-c
162,0,80,140,1,press-point-a
163,0,40,110,1,drag-point-a
164,0,40,110,0,release-point-a
165,0,131,50,1,press-point-b
166,0,40,50,1,drag-point-b
167,0,40,50,0,release-point-b
400,0,40,50,0,win-arrow
