frame,gamepad,mouse_x,mouse_y,mouse_buttons,framebuffer_sha256,framebuffer_fnv1a,palette0,palette1,palette2,palette3,checkpoint
0,0,32767,32767,0,ff5dc52ae45418ebde4b05a1fb2e5d4b7b38d8a4568f4a45f0e97d17ec36238e,324b94f5,00e0f8cf,0086c06c,00306850,00071821,title
1,0,80,80,1,a9bee55878570cbefad3f6b010acdd4b837cc810bb108ebe5f509a3dd4d26135,1052deb9,00e0f8cf,0086c06c,00306850,00071821,press-title
2,0,80,80,0,ae353b881918e24d30e4bc043c45d62499fbd58dff8c387db7d9962e17d15fef,342c89ed,00e0f8cf,0086c06c,00306850,00071821,release-title
3,0,20,72,0,b513d13249f55ab576ad9fc8b308528da85d17e141b9599cc31707a5329d6b8d,5c9c6fd6,00e0f8cf,0086c06c,00306850,00071821,hover-level-0
4,0,20,72,1,26b78b9964266bcc5f277ed818641e01bcf1ff5aae399867729a24db0b5da60d,ccb694fc,00e0f8cf,0086c06c,00306850,00071821,press-level-0
5,0,20,72,0,e34686647c57a0802c611cefc311d21ad44e06a3f6d6243ce5f8448b67760fd1,8ad47191,00e0f8cf,0086c06c,00306850,00071821,release-level-0
6,0,20,72,0,690f51f2a57288f651e57609f0e967caf91880220d1bdf275f7a2ffcf39295fb,8d5455c5,00e0f8cf,0086c06c,00306850,00071821,frame-6
69,0,20,72,0,37bd654343aa976f0ad057451a579830235c37d5d82e9c7499a42c82ff249e3d,11102c95,00e0f8cf,0086c06c,00306850,00071821,frame-69
70,0,20,72,0,f948abcd5ce98a4f2aed1f0eb525a5914789a31bfc1bb906e506324a669a512e,30ea83d5,00e0f8cf,0086c06c,00306850,00071821,frame-70
71,0,20,72,0,f948abcd5ce98a4f2aed1f0eb525a5914789a31bfc1bb906e506324a669a512e,30ea83d5,00e0f8cf,0086c06c,00306850,00071821,frame-71
149,0,20,72,0,046e50db2240e2ebed13f2f7ee03962f43d41599601e8a08ceef591c906245c6,8c84f92c,00e0f8cf,0086c06c,00306850,00071821,frame-149
150,0,20,72,0,04f22f4179a36f03f69da5d45449b2629bcd539dd6a2f741d816ad7c30d4f60b,6872058c,00e0f8cf,0086c06c,00306850,00071821,frame-150
151,0,20,72,0,6dd5ce5909fca4798db5bf0264c095af29f4da8e21a86cc1085a415712f739d0,d791ae2c,00e0f8cf,0086c06c,00306850,00071821,frame-151
152,0,20,72,0,6dd5ce5909fca4798db5bf0264c095af29f4da8e21a86cc1085a415712f739d0,d791ae2c,00e0f8cf,0086c06c,00306850,00071821,frame-152
153,0,28,49,1,61e255eac6eec75e71a723fe81150d180c7acb235dad8877d4efd8c80fe15c69,f7a0f7c8,00e0f8cf,0086c06c,00306850,00071821,press-point-f
154,0,120,50,1,3f44cc611c1da97b16a1d084e5a29af650313dec5e093ac21c1222dc3ab0227f,e4c88f45,00e0f8cf,0086c06c,00306850,00071821,drag-point-f
155,0,120,50,0,38b6dcb1e80c2c8bbfd49d6bf6a578a66f8d86b601d1d9c2c34ff703c831df78,687eeb25,00e0f8cf,0086c06c,00306850,00071821,release-point-f
156,0,28,109,1,2cdbfc32d3874213aa4c745a0286ba82d0c9e883410602d8931e9016d574310b,a40710dd,00e0f8cf,0086c06c,00306850,00071821,press-point-e
157,0,120,110,1,cdae78915175b75882f4fa56b87c13e7844122e9687508f73a87e0e8de6d9e83,15b75455,00e0f8cf,0086c06c,00306850,00071821,drag-point-e
158,0,120,110,0,a1c59381befadd15c4d206b39488bd03951d8a51295c85f76eaa3400fdcb7432,821e7faf,00e0f8cf,0086c06c,00306850,00071821,release-point-e
159,0,131,110,1,8627bce5dc5996158597fec05e498531ea656b36a555fc20bfb8270604838612,08bfe757,00e0f8cf,0086c06c,00306850,00071821,press-point-c
160,0,80,130,1,1b05b188b2b9c3e70bac2b2af6c010b5ed0225da4e9ce571eb3c53dbdc860ec6,f8726484,00e0f8cf,0086c06c,00306850,00071821,drag-point-c
161,0,80,130,0,9e9547af0a5532f8b9f9d8631f86277188a304420d3aa640b389169c0f805723,d783c8cb,00e0f8cf,0086c06c,00306850,00071821,release-point-c
162,0,80,140,1,c26388f6d8c2e3b25b5e51295f0ee0a45e62084f6c2944115da27325bb499b4f,146621dd,00e0f8cf,0086c06c,00306850,00071821,press-point-a
163,0,40,110,1,fa861b46e7ef6f49b1cbf5d04e1979d0d99dd7d7448f1ebe329b7d5a76fbbb69,b31923da,00e0f8cf,0086c06c,00306850,00071821,drag-point-a
164,0,40,110,0,4544a356dc3b8e5085c344628e272267fe63fc3de235c1da647e1c19621f300f,941dfb8d,00e0f8cf,0086c06c,00306850,00071821,release-point-a
165,0,131,50,1,215570218576715a1665ddada9499a46ba786c78364f5122129291b07b52ee53,795a3d47,00e0f8cf,0086c06c,00306850,00071821,press-point-b
