frame,gamepad,mouse_x,mouse_y,mouse_buttons,action
0,1,32767,32767,0,skip-intro
1,0,32767,32767,0,release-intro
12,1,32767,32767,0,select-start
13,0,32767,32767,0,release-start
24,1,32767,32767,0,select-rotate-mode
25,0,32767,32767,0,release-rotate-mode
36,64,32767,32767,0,move-to-easy
37,0,32767,32767,0,release-up
42,64,32767,32767,0,move-to-very-easy
43,0,32767,32767,0,release-up
48,1,32767,32767,0,confirm-very-easy
49,0,32767,32767,0,release-difficulty
60,1,32767,32767,0,play-level-1
61,0,32767,32767,0,release-play
82,1,32767,32767,0,rotate-selected-tile
83,0,32767,32767,0,release-rotate
93,0,32767,32767,0,end
