frame,gamepad,mouse_x,mouse_y,mouse_buttons,framebuffer_sha256,framebuffer_fnv1a,palette0,palette1,palette2,palette3,checkpoint
0,1,32767,32767,0,47a8929943df1fe29c7a01067b85de488ced51cde2aa217ef9fc51253c22366b,188fd725,00004385,004485cf,007dbbff,00ffffff,intro-skip-pressed
1,0,32767,32767,0,47a8929943df1fe29c7a01067b85de488ced51cde2aa217ef9fc51253c22366b,188fd725,00004385,004485cf,007dbbff,00ffffff,intro-release
11,0,32767,32767,0,a41eeb1203f064aff38c11da285399fa0ddcce9157f292a1bfb8fd1ad8b4df01,6cb32fd6,00004385,004485cf,007dbbff,00ffffff,main-menu
12,1,32767,32767,0,a41eeb1203f064aff38c11da285399fa0ddcce9157f292a1bfb8fd1ad8b4df01,6cb32fd6,00004385,004485cf,007dbbff,00ffffff,start-pressed
23,0,32767,32767,0,4c5d2163ec3828fab61dd93d6e04669241b0407c6a2ee941016db59411929901,90fe245f,00004385,004485cf,007dbbff,00ffffff,mode-menu
24,1,32767,32767,0,4c5d2163ec3828fab61dd93d6e04669241b0407c6a2ee941016db59411929901,90fe245f,00004385,004485cf,007dbbff,00ffffff,rotate-mode-pressed
35,0,32767,32767,0,2eb0ca865d35be5b01112f18a0805436f29b0b52cdfd47acd698276c83ab876c,f5a48f21,00004385,004485cf,007dbbff,00ffffff,difficulty-normal
36,64,32767,32767,0,2eb0ca865d35be5b01112f18a0805436f29b0b52cdfd47acd698276c83ab876c,f5a48f21,00004385,004485cf,007dbbff,00ffffff,up-to-easy-pressed
41,0,32767,32767,0,77f335162041b53216df8d3aef3304fd3d8d0252e2360c7fe4484249ee70f27a,fd67eb51,00004385,004485cf,007dbbff,00ffffff,difficulty-easy
42,64,32767,32767,0,77f335162041b53216df8d3aef3304fd3d8d0252e2360c7fe4484249ee70f27a,fd67eb51,00004385,004485cf,007dbbff,00ffffff,up-to-very-easy-pressed
47,0,32767,32767,0,40e03af229de2bb6012c95921bc2300b758024e13de6f2ee358b5e6043ed7f51,dec129c9,00004385,004485cf,007dbbff,00ffffff,difficulty-very-easy
48,1,32767,32767,0,40e03af229de2bb6012c95921bc2300b758024e13de6f2ee358b5e6043ed7f51,dec129c9,00004385,004485cf,007dbbff,00ffffff,difficulty-confirmed
59,0,32767,32767,0,abb18a47d8ec956cf29556f5298ddb0ef17d957063b8287ce715ae27a4cf270c,ce5110d8,00004385,007dbbff,004485cf,00ffffff,level-select
60,1,32767,32767,0,abb18a47d8ec956cf29556f5298ddb0ef17d957063b8287ce715ae27a4cf270c,ce5110d8,00004385,007dbbff,004485cf,00ffffff,level-play-pressed
81,0,32767,32767,0,89ff1dde2c33cb08953610aa4c39ad4d822c724871cf426bff418aeeef3f282a,cd6585bb,00004385,007dbbff,004485cf,00ffffff,level-1-start
82,1,32767,32767,0,67a5c10ff3f26d22f3e6b34dcdca4c114cdcf2e4bbfc26374e871b2783a15403,cefe0907,00004385,007dbbff,004485cf,00ffffff,rotate-tile-pressed
93,0,32767,32767,0,95407d777f6038ceae9ced9ea6d5e480dc200f6b29c1d3d0c733c2f3f4e9c65f,14e0f616,00004385,007dbbff,004485cf,00ffffff,level-1-move-1
